País,direitos de propriedade,Eficácia Judicial,Liberdade Fiscal,Gasto do Governo,Liberdade de negócio,Liberdade de trabalho,Liberdade Monetária,Liberdade de comércio exterior,Liberdade de Investimento,Liberdade Financeira
Canada,90,87,79.8,44.8,91.7,82.3,75.2,88.2,75,80
Chile,90,72,77.6,83.7,70.5,74.2,84.6,82.0,85,70
United States,85,71,69.3,47.8,90.5,95.5,75.0,86.4,70,70
Saint Lucia,70,70,76.9,63.6,85.3,76.4,84.7,71.9,65,40
The Bahamas,70,73,97.0,84.9,71.3,81.6,75.8,47.0,30,70
Uruguay ,70,70,84.2,68.3,73.4,70.7,72.5,82.9,75,30
Colombia,50,34,76.1,75.2,90.2,79.3,78.7,72.2,70,70
Barbados,80,78,74.5,54.2,74.8,84.4,72.1,60.5,55,60
Peru,40,34,79.9,89.1,72.3,67.1,84.3,85.0,70,60
Costa Rica ,50,48,82.9,90.1,58.3,60.4,75.4,85.1,70,50
Mexico,50,30,81.1,79.4,81.4,59.7,77.7,80.6,70,60
Jamaica ,40,33,77.5,67.7,84.3,69.3,76.1,75.0,85,60
El Salvador ,40,34,85.7,85.4,61.8,62.0,79.6,79.0,70,70
Saint Vincent and the Grenadines,70,58,74.2,67.1,77.6,76.6,80.3,73.3,50,40
Dominica,60,52,72.0,50.1,77.0,68.8,85.3,74.3,70,30
Panama ,30,33,86.2,77.8,72.5,40.1,75.9,74.8,65,70
Trinidad and Tobago,50,32,84.9,60.4,55.1,76.7,73.7,69.9,60,60
Paraguay ,30,22,95.9,85.4,59.1,25.6,79.8,82.7,70,60
Guatemala ,30,27,79.6,93.6,50.8,48.7,75.5,85.2,60,50
Dominican Republic,30,26,83.7,92.6,53.7,55.6,72.9,77.8,65,40
Honduras ,30,26,85.3,79.2,61.0,26.8,73.9,77.1,65,60
Brazil,50,38,70.3,54.8,53.0,57.2,74.4,69.7,50,60
Belize,30,0,82.2,72.6,72.6,71.4,77.3,77.2,40,50
Nicaragua ,15,25,78.7,65.1,51.2,62.2,73.2,85.4,60,50
Guyana,30,25,67.9,61.1,66.3,75.4,75.9,71.2,35,30
Suriname,40,30,71.6,72.5,40.2,77.5,66.7,66.3,25,30
Haiti,10,18,80.7,66.3,33.4,63.6,74.2,74.8,30,30
Bolivia,10,28,88.8,64.1,55.8,30.8,67.4,74.3,10,50
Ecuador,20,27,80.1,47.3,51.5,48.0,66.9,68.1,20,40
Argentina,15,30,64.3,52.1,60.1,47.4,60.4,67.6,40,30
Venezuela ,5,19,75.6,50.6,45.6,34.5,47.3,58.8,5,20
Cuba,10,42,62.7,0.0,10.0,20.0,67.4,62.7,0,10
