continente;País;direitos de propriedade;Eficácia Judicial;Liberdade Fiscal;Gasto do Governo;Liberdade de negócio;Liberdade de trabalho;Liberdade Monetária;Liberdade de comércio exterior;Liberdade de Investimento;Liberdade Financeira
Africa;Mauritius;70;51;92.1;81.9;78.2;72.3;75.4;87.9;90;70
Africa;Botswana;70;61;79.5;65.1;69;69.8;72;79.7;70;70
Africa;Rwanda;30;50;80.4;75.9;65.6;80.3;75.5;78;65;40
Africa;Cape Verde;70;55;77.9;65.4;58.9;40.3;78;66.9;65;60
Africa;Madagascar;40;30;90;94.6;63.5;47.4;74.9;74.6;55;50
Africa;South Africa;50;41;70.5;69.2;74.7;55.6;75.8;76.3;45;60
Africa;Ghana;50;39;86;52.5;61.5;61.6;64.8;67.8;70;60
Africa;Uganda;30;24;80.6;84.3;48.4;87.9;77.2;73.6;55;50
Africa;Namibia;30;44;66.4;71.5;68.4;76.7;74.9;81.5;50;40
Africa;Burkina Faso;30;30;81.4;82;61.2;56.4;80.6;72.5;55;50
Africa;Morocco;40;34;71.4;64.3;76.4;30.1;78.9;70.8;70;60
Africa;The Gambia;30;35;75.1;82.7;59.5;59.3;71.1;60.5;65;50
Africa;Zambia;30;32;72.9;80.3;60.4;58.4;66;82.3;55;50
Africa;Tanzania;30;30;79.9;77.9;48.6;61.9;71.8;73.5;55;50
Africa;Gabon;40;30;74.2;80.1;56.5;63.1;77.5;61.1;55;40
Africa;Benin;30;30;76.1;86.1;45.4;49.7;79.9;59.3;70;50
Africa;Swaziland;40;31;74.4;51.3;66;70.3;74.7;69.7;55;40
Africa;Tunisia;40;38;74.5;63.7;82.8;70.1;77.8;58.1;35;30
Africa;Mali;30;28;69.6;83.9;50.1;64.6;79.9;73.2;45;40
Africa;Kenya;30;22;77.5;73.5;58;57.1;73.8;66.7;50;50
Africa;Senegal;40;29;65.2;75.6;56.7;41.3;79.6;72.2;55;40
Africa;Malawi;40;30;78.4;60;41.1;58.8;72.5;71.8;50;50
Africa;Nigeria;30;24;82.6;74.6;55.7;67.2;73.3;63.9;40;40
Africa;Mozambique ;30;27;76.2;64.5;63.9;37.9;74.7;75.4;50;50
Africa;Seychelles;50;48;77.6;56.9;69.2;63.5;75.6;33.4;45;30
Africa;Egypt;35;29;85.6;69.4;63.3;43.3;58.4;73.8;50;40
Africa;C™te d'Ivoire ;25;22;77.9;79.8;43.3;54.6;77.8;70.3;40;50
Africa;Djibouti;30;30;79.4;48.8;30;59.6;76.6;59.6;65;60
Africa;Niger;30;25;77;80.1;35.2;39.3;85.4;71.7;55;40
Africa;Cameroon;30;25;69.3;87.1;46.8;55.5;69.9;54.9;35;50
Africa;Mauritania;25;24;80.3;74.7;43.3;51.1;75.1;64.8;45;40
