País,direitos de propriedade,Eficácia Judicial,Liberdade Fiscal,Gasto do Governo,Liberdade de negócio,Liberdade de trabalho,Liberdade Monetária,Liberdade de comércio exterior,Liberdade de Investimento,Liberdade Financeira
Switzerland,90,88,68.1,63.8,75.8,87.9,86.2,90.0,80,80
Denmark,90,94,39.8,5.9,98.4,91.1,80.0,86.8,85,90
Ireland,90,75,73.8,28.8,83.4,76.6,82.8,86.8,90,70
Estonia,85,64,79.7,56.2,78.2,56.0,77.1,86.8,90,80
United Kingdom,90,78,57.0,27.7,94.1,71.6,72.4,86.8,90,80
Luxembourg,90,85,65.0,47.1,74.8,39.0,79.3,86.8,95,80
Finland,90,94,66.9,12.2,94.8,45.3,79.5,86.8,90,80
The Netherlands,90,89,52.1,24.7,83.0,58.6,81.1,86.8,90,80
Sweden,90,93,39.6,21.0,93.2,53.6,82.1,86.8,90,80
Germany,90,80,61.8,37.3,92.1,43.8,81.2,86.8,85,70
Iceland,90,83,72.7,36.2,91.5,58.9,75.8,87.8,65,60
Lithuania,60,48,92.8,53.6,77.6,64.1,78.3,86.8,80,80
Austria,90,78,51.1,23.5,73.6,80.4,79.3,86.8,85,70
Czech Republic,70,44,82.0,43.5,65.8,85.5,81.7,86.8,70,80
Norway,90,90,51.0,40.3,92.6,44.7,76.9,89.3,70,60
Belgium,80,75,45.0,14.5,91.6,69.8,79.3,86.8,80,70
Slovakia,50,40,84.7,58.0,71.0,72.2,79.1,86.8,75,70
Macedonia,35,39,91.4,69.1,80.3,78.4,84.0,84.6,60,60
Spain,70,62,53.9,43.0,80.3,54.3,79.9,86.8,80,70
Malta,75,56,61.2,44.1,61.1,65.4,80.4,86.8,85,60
Hungary ,65,46,79.7,29.7,79.1,64.4,77.1,86.8,75,70
Latvia,50,42,84.4,53.6,75.7,64.4,78.3,86.8,80,50
Poland,60,55,76.0,43.0,64.0,62.9,77.7,86.8,65,70
Albania,30,31,92.6,75.1,81.0,49.0,78.4,79.8,65,70
Romania,40,36,87.9,62.2,70.4,63.5,74.7,86.8,80,50
Bulgaria,30,33,94.0,64.2,73.6,74.8,78.6,86.8,55,60
France,80,70,53.0,5.6,84.0,50.5,81.1,81.8,65,70
Portugal,70,61,61.6,28.3,82.8,31.0,79.4,86.8,70,60
Montenegro,40,40,92.4,41.5,72.7,71.4,79.9,83.0,55,50
Slovenia,60,59,65.7,22.3,80.7,40.4,81.6,86.8,70,50
Croatia,40,40,75.4,48.7,63.0,42.4,81.1,87.5,75,60
Italy,50,39,55.5,25.3,76.9,52.0,80.2,86.8,80,60
Serbia ,40,33,84.2,40.3,60.2,70.4,65.3,77.9,65,50
Bosnia and Herzegovina,20,32,83.2,26.9,54.3,61.2,79.0,86.4,70,60
Moldova,40,29,87.2,50.1,69.7,40.9,73.4,80.0,35,50
Greece,40,34,66.2,24.7,77.1,42.1,73.4,81.8,65,50
Russia,25,24,86.9,54.4,69.2,52.6,66.7,77.4,25,30
Belarus,20,24,88.8,43.5,75.2,76.9,40.7,80.8,20,10
Ukraine,30,23,78.2,29.4,47.6,49.9,71.0,84.4,20,30
