País,direitos de propriedade,Eficácia Judicial,Liberdade Fiscal,Gasto do Governo,Liberdade de negócio,Liberdade de trabalho,Liberdade Monetária,Liberdade de comércio exterior,Liberdade de Investimento,Liberdade Financeira
Australia,90,88,66.4,62.8,95.5,83.5,83.8,86.2,80,90
New Zealand,95,95,71.5,33.2,99.9,89.5,83.3,86.8,80,80
Fiji,25,20,78.0,78.0,65.7,74.9,72.8,68.0,40,50
Samoa,60,39,80.6,34.3,72.4,80.4,78.5,66.0,30,30
Vanuatu,40,35,97.3,80.5,56.4,57.7,81.4,48.0,30,40
Tonga,20,31,87.1,64.7,76.6,84.4,71.1,75.6,30,20
Papua New Guinea,20,22,67.4,72.3,58.3,73.4,72.4,85.0,35,30
Micronesia,30,30,97.5,0.0,54.1,82.5,76.1,81.0,20,30
Kiribati,30,31,71.2,0.0,59.2,78.5,78.4,55.4,25,30
Solomon Islands,30,27,66.2,6.1,66.6,66.4,75.4,72.6,10,30
